run,mean_score,max_score,diversity,unique_mutation_sites,seed_similarity,seed_novelty,best_delta_target_score,mean_delta_target_score_top_k
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed42,0.1058931168859318,0.130846440960165,10.69877551020408,36.0,,,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed43,0.1015379811549859,0.1155733790968047,11.248979591836736,41.0,,,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed44,0.1076089468117835,0.125518386861323,9.546938775510204,37.0,,,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_entropy_diversity_seed42,0.1058931168859318,0.130846440960165,10.69877551020408,36.0,,,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_entropy_diversity_seed43,0.101537981154986,0.1155733790968047,11.248979591836736,41.0,,,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_entropy_diversity_seed44,0.1076089468117835,0.125518386861323,9.546938775510204,37.0,,,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed42,0.1058931168859318,0.130846440960165,10.69877551020408,36.0,,,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed43,0.1015379811549859,0.1155733790968047,11.248979591836736,41.0,,,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed44,0.1076089468117835,0.125518386861323,9.546938775510204,37.0,,,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed42,0.1058931168859318,0.130846440960165,10.69877551020408,36.0,,,0.076686239418347,0.06327356837429327
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed43,0.101537981154986,0.1155733790968047,11.248979591836736,41.0,,,0.06141317755498668,0.05306336875347848
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed44,0.1076089468117835,0.125518386861323,9.546938775510204,37.0,,,0.07135818531950498,0.06035168635501971
kleb_to_acinetobacter_structural_plus_random_diversity_seed42,0.197128483826076,0.2458402369113072,5.386938775510204,89.0,,,0.1916800353694892,0.15419918068294888
kleb_to_acinetobacter_structural_plus_random_diversity_seed43,0.1371600449473546,0.1590282674398068,16.996734693877553,97.0,,,0.10486806589798879,0.09304309581177522
kleb_to_acinetobacter_structural_plus_random_diversity_seed44,0.1453203746189798,0.2199284293941962,11.363265306122448,100.0,,,0.1657682278523782,0.11002671413797216
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed42,0.1982879022103704,0.2458402369113072,4.191836734693878,88.0,,,0.1916800353694892,0.16755887401777242
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed43,0.1371600449473546,0.1590282674398068,16.996734693877553,97.0,,,0.10486806589798879,0.09329056510300988
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed44,0.1453203746189798,0.2199284293941962,11.363265306122448,100.0,,,0.1657682278523782,0.11066453331652386
kleb_to_acinetobacter_structural_random_diversity_seed42,0.197128483826076,0.2458402369113072,5.386938775510204,89.0,,,0.1916800353694892,0.15419918068294888
kleb_to_acinetobacter_structural_random_diversity_seed43,0.1371600449473546,0.1590282674398068,16.996734693877553,97.0,,,0.10486806589798879,0.09304309581177522
kleb_to_acinetobacter_structural_random_diversity_seed44,0.1453203746189798,0.2199284293941962,11.363265306122448,100.0,,,0.1657682278523782,0.11002671413797216
kleb_to_acinetobacter_structural_random_no_diversity_seed42,0.1982879022103704,0.2458402369113072,4.191836734693878,88.0,,,0.1916800353694892,0.16755887401777242
kleb_to_acinetobacter_structural_random_no_diversity_seed43,0.1371600449473546,0.1590282674398068,16.996734693877553,97.0,,,0.10486806589798879,0.09329056510300988
kleb_to_acinetobacter_structural_random_no_diversity_seed44,0.1453203746189798,0.2199284293941962,11.363265306122448,100.0,,,0.1657682278523782,0.11066453331652386
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed42,0.6039351387363393,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed43,0.6143871599762973,0.6450793294945086,7.497959183673469,31.0,,,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed44,0.6095649982733642,0.6443516525528517,12.641632653061224,35.0,,,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_entropy_diversity_seed42,0.6039351387363392,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_entropy_diversity_seed43,0.6143871599762973,0.6450793294945086,7.497959183673469,31.0,,,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_entropy_diversity_seed44,0.6095649982733642,0.6443516525528517,12.641632653061224,35.0,,,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed42,0.6039351387363393,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed43,0.6143871599762973,0.6450793294945086,7.497959183673469,31.0,,,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed44,0.6095649982733642,0.6443516525528517,12.641632653061224,35.0,,,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_plus_entropy_diversity_seed42,0.6039351387363392,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
kleb_to_enterobacter_structural_plus_entropy_diversity_seed43,0.6143871599762973,0.6450793294945086,7.497959183673469,31.0,,,0.24242419057169962,0.225168145332377
kleb_to_enterobacter_structural_plus_entropy_diversity_seed44,0.6095649982733642,0.6443516525528517,12.641632653061224,35.0,,,0.24169651363004263,0.2218520997074703
kleb_to_enterobacter_structural_plus_random_diversity_seed42,0.5337588213971791,0.5660607576384127,15.54530612244898,103.0,,,0.16340561871560366,0.14803284763045807
kleb_to_enterobacter_structural_plus_random_diversity_seed43,0.5670894527634368,0.5929523643470732,5.81469387755102,92.0,,,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_plus_random_diversity_seed44,0.541085843254694,0.5636266617555489,10.93061224489796,97.0,,,0.16097152283273986,0.14913867018073823
kleb_to_enterobacter_structural_plus_random_no_diversity_seed42,0.5337588213971791,0.5660607576384127,15.54530612244898,103.0,,,0.16340561871560366,0.14807101517602012
kleb_to_enterobacter_structural_plus_random_no_diversity_seed43,0.5670894527634368,0.5929523643470732,5.81469387755102,92.0,,,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_plus_random_no_diversity_seed44,0.541085843254694,0.5636266617555489,10.93061224489796,97.0,,,0.16097152283273986,0.1500825216898482
kleb_to_enterobacter_structural_random_diversity_seed42,0.5337588213971791,0.5660607576384127,15.54530612244898,103.0,,,0.16340561871560366,0.14803284763045807
kleb_to_enterobacter_structural_random_diversity_seed43,0.5670894527634368,0.5929523643470732,5.81469387755102,92.0,,,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_random_diversity_seed44,0.541085843254694,0.5636266617555489,10.93061224489796,97.0,,,0.16097152283273986,0.14913867018073823
kleb_to_enterobacter_structural_random_no_diversity_seed42,0.5337588213971791,0.5660607576384127,15.54530612244898,103.0,,,0.16340561871560366,0.14807101517602012
kleb_to_enterobacter_structural_random_no_diversity_seed43,0.5670894527634368,0.5929523643470732,5.81469387755102,92.0,,,0.1902972254242642,0.17869927936723773
kleb_to_enterobacter_structural_random_no_diversity_seed44,0.541085843254694,0.5636266617555489,10.93061224489796,97.0,,,0.16097152283273986,0.1500825216898482
kleb_to_pseudomonas_entropy_diversity_seed42,0.360793339606546,0.4325410775306459,25.24408163265306,58.0,,,0.31145690189933256,0.29326891691166546
kleb_to_pseudomonas_entropy_diversity_seed43,0.3590791222042328,0.4564878656103316,23.347755102040814,56.0,,,0.33540368997901826,0.2998769320042471
kleb_to_pseudomonas_entropy_diversity_seed44,0.3401281703128997,0.4091780508112346,26.572244897959184,60.0,,,0.28809387517992124,0.27743146011522213
kleb_to_pseudomonas_esm_guided,0.2812482138680159,0.3029032939008984,,,,,0.18181905610106913,0.1727662305401459
kleb_to_pseudomonas_esm_guided_diverse,0.2340410440236821,0.2867224244623979,,,,,0.16563818666256863,0.12703933006826834
kleb_to_pseudomonas_esm_guided_diverse_entropy,0.2443193227035048,0.3076513136868861,12.791836734693875,36.0,,,0.18656707588705684,0.15308486149465472
kleb_to_pseudomonas_random_diversity_seed42,0.38283191435178,0.4647073472045978,26.03265306122449,172.0,,,0.3436231715732844,0.3097763838955257
kleb_to_pseudomonas_random_diversity_seed43,0.3495591034192904,0.4920843020720907,29.897959183673468,164.0,,,0.37100012644077734,0.2917676646613587
kleb_to_pseudomonas_random_diversity_seed44,0.4028897510791974,0.4711585963498602,25.75265306122449,172.0,,,0.35007442071854683,0.3193935064241652
kleb_to_pseudomonas_random_no_diversity_seed42,0.4363208090058791,0.4874751996586524,15.102857142857143,115.0,,,0.36639102402733903,0.3364995802703389
kleb_to_pseudomonas_random_no_diversity_seed43,0.3852173703583239,0.4084841709382488,23.457142857142856,123.0,,,0.28739999530693544,0.27768933057891465
kleb_to_pseudomonas_random_no_diversity_seed44,0.4255128147316488,0.4626386096274411,23.11591836734694,125.0,,,0.3415544339961277,0.3237137001884886
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed43,0.273380499356364,0.3051548695034918,13.801632653061224,41.0,,,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed44,0.2813519096096915,0.3249375912956388,11.236734693877551,34.0,,,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_entropy_diversity_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_entropy_diversity_seed43,0.273380499356364,0.3051548695034918,13.801632653061224,41.0,,,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_entropy_diversity_seed44,0.2813519096096915,0.3249375912956388,11.236734693877551,34.0,,,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed43,0.273380499356364,0.3051548695034918,13.801632653061224,41.0,,,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed44,0.2813519096096915,0.3249375912956388,11.236734693877551,34.0,,,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed43,0.273380499356364,0.3051548695034918,13.801632653061224,41.0,,,0.18407069387217845,0.1701582165968471
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed44,0.2813519096096915,0.3249375912956388,11.236734693877551,34.0,,,0.20385341566432547,0.16769891795209063
kleb_to_pseudomonas_structural_plus_random_diversity_seed42,0.2606216480887109,0.2856250160489484,13.15265306122449,110.0,,,0.16454084041763506,0.14923308870367272
kleb_to_pseudomonas_structural_plus_random_diversity_seed43,0.2518918478100909,0.2743905020838259,16.173061224489796,104.0,,,0.15330632645251258,0.14290438619688348
kleb_to_pseudomonas_structural_plus_random_diversity_seed44,0.2425669354253852,0.2774265634807126,16.358367346938774,100.0,,,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed42,0.2612948893289545,0.2856250160489484,12.835918367346938,108.0,,,0.16454084041763506,0.15395010697735267
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed43,0.2518918478100908,0.2743905020838259,16.173061224489796,104.0,,,0.15330632645251258,0.14330858980477335
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed44,0.2425669354253852,0.2774265634807126,16.358367346938774,100.0,,,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_random_diversity_seed42,0.2606216480887109,0.2856250160489484,13.15265306122449,110.0,,,0.16454084041763506,0.14923308870367272
kleb_to_pseudomonas_structural_random_diversity_seed43,0.2518918478100909,0.2743905020838259,16.173061224489796,104.0,,,0.15330632645251258,0.14290438619688348
kleb_to_pseudomonas_structural_random_diversity_seed44,0.2425669354253852,0.2774265634807126,16.358367346938774,100.0,,,0.15634238784939924,0.1373389736803449
kleb_to_pseudomonas_structural_random_no_diversity_seed42,0.2612948893289545,0.2856250160489484,12.835918367346938,108.0,,,0.16454084041763506,0.15395010697735267
kleb_to_pseudomonas_structural_random_no_diversity_seed43,0.2518918478100908,0.2743905020838259,16.173061224489796,104.0,,,0.15330632645251258,0.14330858980477335
kleb_to_pseudomonas_structural_random_no_diversity_seed44,0.2425669354253852,0.2774265634807126,16.358367346938774,100.0,,,0.15634238784939924,0.1373389736803449
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed42,0.6038416276985344,0.6266772435692393,11.16734693877551,33.0,,,0.22402210464643024,0.21012287015194647
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed43,0.6143562701003246,0.6450793294945086,7.631836734693877,31.0,,,0.24242419057169962,0.225168145332377
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed44,0.6099925938829663,0.6443516525528517,13.01469387755102,35.0,,,0.24169651363004263,0.22111881497220195
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed42,0.272832475342081,0.297622407106994,12.321632653061224,36.0,,,0.17653823147568065,0.1678107530367901
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed43,0.265689003245119,0.295738505892396,11.903673469387757,34.0,,,0.17465433026108262,0.15904470044902524
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed44,0.2826537760324411,0.3249375912956388,11.266938775510203,38.0,,,0.20385341566432547,0.1700159796350456
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l2_seed42,0.6039155633218384,0.6266772435692393,11.360816326530612,35.0,,,0.22402210464643024,0.20995465755777465
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5_seed42,0.6038416276985344,0.6266772435692393,11.16734693877551,33.0,,,0.22402210464643024,0.21012287015194647
optionA_kleb_to_enterobacter_structural_entropy_diversity_seed42,0.6039351387363392,0.6266772435692393,11.235918367346938,34.0,,,0.22402210464643024,0.21012287015194647
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l2_seed42,0.2730267825483138,0.297622407106994,12.394285714285717,40.0,,,0.17653823147568065,0.16621995643363885
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5_seed42,0.272832475342081,0.297622407106994,12.321632653061224,36.0,,,0.17653823147568065,0.1678107530367901
optionA_kleb_to_pseudomonas_structural_entropy_diversity_seed42,0.272894105110176,0.297622407106994,12.453061224489796,39.0,,,0.17653823147568065,0.16589612185951758
