run_name,target_host,method_family,n_rows,n_unique_sequences,n_validated_patched,best_target_score,best_corrected_rank_score,best_strict_nn_cosine,best_pll_delta,mean_actual_seq_dist
kleb_to_acinetobacter_structural_plus_random_diversity_seed44,Acinetobacter,diversity,50,50,28,0.2199284293941962,0.9040889506451071,0.9996345043182372,1.5466337203979492,10.8
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed44,Acinetobacter,diversity,50,50,28,0.2199284293941962,0.9040889506451071,0.9996345043182372,1.5466337203979492,10.8
kleb_to_acinetobacter_structural_random_diversity_seed44,Acinetobacter,diversity,50,50,28,0.2199284293941962,0.9040889506451071,0.9996345043182372,1.5466337203979492,10.8
kleb_to_acinetobacter_structural_random_no_diversity_seed44,Acinetobacter,diversity,50,50,28,0.2199284293941962,0.9040889506451071,0.9996345043182372,1.5466337203979492,10.8
kleb_to_acinetobacter_structural_plus_random_diversity_seed43,Acinetobacter,diversity,50,50,37,0.1590282674398068,0.6063149326219341,0.9996811151504515,1.346617430448532,9.86
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed43,Acinetobacter,diversity,50,50,37,0.1590282674398068,0.6063149326219341,0.9996811151504515,1.346617430448532,9.86
kleb_to_acinetobacter_structural_random_diversity_seed43,Acinetobacter,diversity,50,50,37,0.1590282674398068,0.6063149326219341,0.9996811151504515,1.346617430448532,9.86
kleb_to_acinetobacter_structural_random_no_diversity_seed43,Acinetobacter,diversity,50,50,37,0.1590282674398068,0.6063149326219341,0.9996811151504515,1.346617430448532,9.86
kleb_to_acinetobacter_structural_plus_random_diversity_seed42,Acinetobacter,diversity,50,50,28,0.2458402369113072,0.4508237850535602,0.9994882345199584,0.827960729598999,8.02
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed42,Acinetobacter,diversity,50,50,27,0.2458402369113072,0.4508237850535602,0.9977270364761353,0.827960729598999,7.88
kleb_to_acinetobacter_structural_random_diversity_seed42,Acinetobacter,diversity,50,50,28,0.2458402369113072,0.4508237850535602,0.9994882345199584,0.827960729598999,8.02
kleb_to_acinetobacter_structural_random_no_diversity_seed42,Acinetobacter,diversity,50,50,27,0.2458402369113072,0.4508237850535602,0.9977270364761353,0.827960729598999,7.88
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed44,Acinetobacter,diversity+novelty,50,50,50,0.125518386861323,0.27416453774380145,0.9995814561843872,2.372111797332764,8.22
kleb_to_acinetobacter_structural_entropy_diversity_seed44,Acinetobacter,diversity,50,50,50,0.125518386861323,0.27416453774380145,0.9995814561843872,2.372111797332764,8.22
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed44,Acinetobacter,diversity+novelty,50,50,50,0.125518386861323,0.27416453774380145,0.9995814561843872,2.372111797332764,8.22
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed44,Acinetobacter,diversity,50,50,50,0.125518386861323,0.27416453774380145,0.9995814561843872,2.372111797332764,8.22
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed42,Acinetobacter,diversity+novelty,50,50,50,0.130846440960165,0.24103617093001045,0.9995729327201844,2.4506819248199463,8.7
kleb_to_acinetobacter_structural_entropy_diversity_seed42,Acinetobacter,diversity,50,50,50,0.130846440960165,0.24103617093001045,0.9995729327201844,2.4506819248199463,8.7
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed42,Acinetobacter,diversity+novelty,50,50,50,0.130846440960165,0.24103617093001045,0.9995729327201844,2.4506819248199463,8.7
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed42,Acinetobacter,diversity,50,50,50,0.130846440960165,0.24103617093001045,0.9995729327201844,2.4506819248199463,8.7
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed43,Acinetobacter,diversity+novelty,50,50,50,0.1155733790968047,0.1319652705919062,0.999573826789856,2.3005266189575195,9.82
kleb_to_acinetobacter_structural_entropy_diversity_seed43,Acinetobacter,diversity,50,50,50,0.1155733790968047,0.1319652705919062,0.999573826789856,2.3005266189575195,9.82
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed43,Acinetobacter,diversity+novelty,50,50,50,0.1155733790968047,0.1319652705919062,0.999573826789856,2.3005266189575195,9.82
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed43,Acinetobacter,diversity,50,50,50,0.1155733790968047,0.1319652705919062,0.999573826789856,2.3005266189575195,9.82
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed42,Enterobacter,diversity+novelty,50,50,50,0.6266772435692393,0.8791594936022784,0.9994760751724244,1.9984579881032305,9.82
kleb_to_enterobacter_structural_entropy_diversity_seed42,Enterobacter,diversity,50,50,50,0.6266772435692393,0.8791594936022784,0.9994760751724244,1.9984579881032305,9.82
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed42,Enterobacter,diversity+novelty,50,50,50,0.6266772435692393,0.8791594936022784,0.9994760751724244,1.9984579881032305,9.82
kleb_to_enterobacter_structural_plus_entropy_diversity_seed42,Enterobacter,diversity,50,50,50,0.6266772435692393,0.8791594936022784,0.9994760751724244,1.9984579881032305,9.82
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed42,Enterobacter,diversity+novelty,50,50,50,0.6266772435692393,0.8791594936022784,0.9994680881500244,2.259395837783813,10.02
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l2_seed42,Enterobacter,diversity+novelty,50,50,50,0.6266772435692393,0.8791594936022784,0.9994680881500244,2.259395837783813,10.02
optionA_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5_seed42,Enterobacter,diversity+novelty,50,50,50,0.6266772435692393,0.8791594936022784,0.9994680881500244,2.259395837783813,10.02
optionA_kleb_to_enterobacter_structural_entropy_diversity_seed42,Enterobacter,diversity,50,50,50,0.6266772435692393,0.8791594936022784,0.9994760751724244,1.9984579881032305,9.82
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed43,Enterobacter,diversity+novelty,50,50,50,0.6450793294945086,0.7284309186553278,0.9993404150009156,2.6077380180358887,11.08
kleb_to_enterobacter_structural_entropy_diversity_seed43,Enterobacter,diversity,50,50,50,0.6450793294945086,0.7284309186553278,0.9993404150009156,2.6077380180358887,11.08
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed43,Enterobacter,diversity+novelty,50,50,50,0.6450793294945086,0.7284309186553278,0.9993404150009156,2.6077380180358887,11.08
kleb_to_enterobacter_structural_plus_entropy_diversity_seed43,Enterobacter,diversity,50,50,50,0.6450793294945086,0.7284309186553278,0.9993404150009156,2.6077380180358887,11.08
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed43,Enterobacter,diversity+novelty,50,50,50,0.6450793294945086,0.683900220816495,0.9993082284927368,2.1999077796936035,11.14
kleb_to_enterobacter_structural_entropy_diversity_novelty_seed44,Enterobacter,diversity+novelty,50,50,50,0.6443516525528517,0.5897378427681579,0.9994386434555054,2.208155274391174,10.62
kleb_to_enterobacter_structural_entropy_diversity_seed44,Enterobacter,diversity,50,50,50,0.6443516525528517,0.5897378427681579,0.9994386434555054,2.208155274391174,10.62
kleb_to_enterobacter_structural_plus_entropy_diversity_novelty_seed44,Enterobacter,diversity+novelty,50,50,50,0.6443516525528517,0.5897378427681579,0.9994386434555054,2.208155274391174,10.62
kleb_to_enterobacter_structural_plus_entropy_diversity_seed44,Enterobacter,diversity,50,50,50,0.6443516525528517,0.5897378427681579,0.9994386434555054,2.208155274391174,10.62
optionA_confirm_kleb_to_enterobacter_structural_entropy_diversity_novelty_l5p0_seed44,Enterobacter,diversity+novelty,50,50,50,0.6443516525528517,0.5897378427681579,0.9994386434555054,2.208155274391174,10.7
kleb_to_enterobacter_structural_plus_random_diversity_seed44,Enterobacter,diversity,50,50,35,0.5636266617555489,0.34115802329130335,0.9997764825820924,1.4376295804977417,9.5
kleb_to_enterobacter_structural_plus_random_no_diversity_seed44,Enterobacter,diversity,50,50,35,0.5636266617555489,0.34115802329130335,0.9997764825820924,1.4376295804977417,9.5
kleb_to_enterobacter_structural_random_diversity_seed44,Enterobacter,diversity,50,50,35,0.5636266617555489,0.34115802329130335,0.9997764825820924,1.4376295804977417,9.5
kleb_to_enterobacter_structural_random_no_diversity_seed44,Enterobacter,diversity,50,50,35,0.5636266617555489,0.34115802329130335,0.9997764825820924,1.4376295804977417,9.5
kleb_to_enterobacter_structural_plus_random_diversity_seed43,Enterobacter,diversity,50,50,35,0.5929523643470732,0.1287980939737295,0.999641180038452,1.771162986755371,9.0
kleb_to_enterobacter_structural_plus_random_no_diversity_seed43,Enterobacter,diversity,50,50,35,0.5929523643470732,0.1287980939737295,0.999641180038452,1.771162986755371,9.0
kleb_to_enterobacter_structural_random_diversity_seed43,Enterobacter,diversity,50,50,35,0.5929523643470732,0.1287980939737295,0.999641180038452,1.771162986755371,9.0
kleb_to_enterobacter_structural_random_no_diversity_seed43,Enterobacter,diversity,50,50,35,0.5929523643470732,0.1287980939737295,0.999641180038452,1.771162986755371,9.0
kleb_to_enterobacter_structural_plus_random_diversity_seed42,Enterobacter,diversity,50,50,41,0.5660607576384127,0.12231149553094015,0.9997928142547609,1.557147343953451,9.84
kleb_to_enterobacter_structural_plus_random_no_diversity_seed42,Enterobacter,diversity,50,50,41,0.5660607576384127,0.12231149553094015,0.9997928142547609,1.557147343953451,9.84
kleb_to_enterobacter_structural_random_diversity_seed42,Enterobacter,diversity,50,50,41,0.5660607576384127,0.12231149553094015,0.9997928142547609,1.557147343953451,9.84
kleb_to_enterobacter_structural_random_no_diversity_seed42,Enterobacter,diversity,50,50,41,0.5660607576384127,0.12231149553094015,0.9997928142547609,1.557147343953451,9.84
kleb_to_pseudomonas_random_no_diversity_seed44,Pseudomonas,diversity,50,50,0,0.4626386096274411,1.1825338259484213,0.9992117881774902,1.6911065578460691,20.38
kleb_to_pseudomonas_random_diversity_seed44,Pseudomonas,diversity,50,50,0,0.4711585963498602,1.0138626146594871,0.9991965889930724,1.0729750096797943,21.52
kleb_to_pseudomonas_random_no_diversity_seed43,Pseudomonas,diversity,50,50,0,0.4084841709382488,0.990381365380322,0.9994718432426452,1.6386275291442869,21.06
kleb_to_pseudomonas_random_no_diversity_seed42,Pseudomonas,diversity,50,50,0,0.4874751996586524,0.8192426193868301,0.9987832307815552,1.6255556344985962,21.28
kleb_to_pseudomonas_random_diversity_seed43,Pseudomonas,diversity,50,50,0,0.4920843020720907,0.8057619185095345,0.9996577501296996,1.300262212753296,20.0
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed43,Pseudomonas,diversity+novelty,50,50,50,0.3051548695034918,0.5799902106385123,0.999407947063446,2.7404115200042725,10.68
kleb_to_pseudomonas_structural_entropy_diversity_seed43,Pseudomonas,diversity,50,50,50,0.3051548695034918,0.5799902106385123,0.999407947063446,2.7404115200042725,10.68
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed43,Pseudomonas,diversity+novelty,50,50,50,0.3051548695034918,0.5799902106385123,0.999407947063446,2.7404115200042725,10.68
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed43,Pseudomonas,diversity,50,50,50,0.3051548695034918,0.5799902106385123,0.999407947063446,2.7404115200042725,10.68
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed43,Pseudomonas,diversity+novelty,50,50,50,0.295738505892396,0.5799902106385123,0.999432384967804,2.7404115200042725,10.56
kleb_to_pseudomonas_random_diversity_seed42,Pseudomonas,diversity,50,50,0,0.4647073472045978,0.5687661610007301,0.9992022514343262,1.0733214020729065,21.88
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed44,Pseudomonas,diversity+novelty,50,50,50,0.3249375912956388,0.48700062039816056,0.9996008276939392,2.4010206858317056,11.32
kleb_to_pseudomonas_entropy_diversity_seed42,Pseudomonas,diversity,50,50,0,0.4325410775306459,0.47309224660150173,0.9992141723632812,2.19860178232193,20.76
kleb_to_pseudomonas_structural_plus_random_diversity_seed44,Pseudomonas,diversity,50,50,33,0.2774265634807126,0.4556806002801216,0.999765396118164,2.627748250961304,10.5
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed44,Pseudomonas,diversity,50,50,33,0.2774265634807126,0.4556806002801216,0.999765396118164,2.627748250961304,10.5
kleb_to_pseudomonas_structural_random_diversity_seed44,Pseudomonas,diversity,50,50,33,0.2774265634807126,0.4556806002801216,0.999765396118164,2.627748250961304,10.5
kleb_to_pseudomonas_structural_random_no_diversity_seed44,Pseudomonas,diversity,50,50,33,0.2774265634807126,0.4556806002801216,0.999765396118164,2.627748250961304,10.5
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed44,Pseudomonas,diversity+novelty,50,50,50,0.3249375912956388,0.4237533382432786,0.9996008276939392,2.4010206858317056,11.12
kleb_to_pseudomonas_structural_entropy_diversity_seed44,Pseudomonas,diversity,50,50,50,0.3249375912956388,0.4237533382432786,0.9996008276939392,2.4010206858317056,11.12
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed44,Pseudomonas,diversity+novelty,50,50,50,0.3249375912956388,0.4237533382432786,0.9996008276939392,2.4010206858317056,11.12
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed44,Pseudomonas,diversity,50,50,50,0.3249375912956388,0.4237533382432786,0.9996008276939392,2.4010206858317056,11.12
optionA_confirm_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5p0_seed42,Pseudomonas,diversity+novelty,50,50,50,0.297622407106994,0.4112437763046356,0.9994321465492249,2.873119831085205,10.3
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l5_seed42,Pseudomonas,diversity+novelty,50,50,50,0.297622407106994,0.4112437763046356,0.9994321465492249,2.873119831085205,10.3
kleb_to_pseudomonas_esm_guided,Pseudomonas,other,50,50,35,0.3029032939008984,0.3781975528625333,0.9996058940887452,2.4190714359283447,11.3
kleb_to_pseudomonas_structural_plus_random_diversity_seed42,Pseudomonas,diversity,50,50,38,0.2856250160489484,0.3513229161281878,0.9997920989990234,2.112087647120158,10.18
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed42,Pseudomonas,diversity,50,50,39,0.2856250160489484,0.3513229161281878,0.9997721910476683,2.112087647120158,10.18
kleb_to_pseudomonas_structural_random_diversity_seed42,Pseudomonas,diversity,50,50,38,0.2856250160489484,0.3513229161281878,0.9997920989990234,2.112087647120158,10.18
kleb_to_pseudomonas_structural_random_no_diversity_seed42,Pseudomonas,diversity,50,50,39,0.2856250160489484,0.3513229161281878,0.9997721910476683,2.112087647120158,10.18
kleb_to_pseudomonas_structural_entropy_diversity_novelty_seed42,Pseudomonas,diversity+novelty,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.38
kleb_to_pseudomonas_structural_entropy_diversity_seed42,Pseudomonas,diversity,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.38
kleb_to_pseudomonas_structural_plus_entropy_diversity_novelty_seed42,Pseudomonas,diversity+novelty,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.38
kleb_to_pseudomonas_structural_plus_entropy_diversity_seed42,Pseudomonas,diversity,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.38
optionA_kleb_to_pseudomonas_structural_entropy_diversity_novelty_l2_seed42,Pseudomonas,diversity+novelty,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.46
optionA_kleb_to_pseudomonas_structural_entropy_diversity_seed42,Pseudomonas,diversity,50,50,50,0.297622407106994,0.32843693846874455,0.999491572380066,2.2096989154815674,10.38
kleb_to_pseudomonas_entropy_diversity_seed43,Pseudomonas,diversity,50,50,1,0.4564878656103316,0.2852269490623554,0.9987802505493164,2.225838154554367,19.08
kleb_to_pseudomonas_structural_plus_random_diversity_seed43,Pseudomonas,diversity,50,50,42,0.2743905020838259,0.2078024926737814,0.9997576475143432,1.4909160137176514,10.06
kleb_to_pseudomonas_structural_plus_random_no_diversity_seed43,Pseudomonas,diversity,50,50,42,0.2743905020838259,0.2078024926737814,0.9997576475143432,1.4909160137176514,10.06
kleb_to_pseudomonas_structural_random_diversity_seed43,Pseudomonas,diversity,50,50,42,0.2743905020838259,0.2078024926737814,0.9997576475143432,1.4909160137176514,10.06
kleb_to_pseudomonas_structural_random_no_diversity_seed43,Pseudomonas,diversity,50,50,42,0.2743905020838259,0.2078024926737814,0.9997576475143432,1.4909160137176514,10.06
kleb_to_pseudomonas_esm_guided_diverse_entropy,Pseudomonas,entropy,50,50,50,0.3076513136868861,0.16029265669865925,0.9998809099197388,2.05088472366333,9.52
kleb_to_pseudomonas_esm_guided_diverse,Pseudomonas,other,50,50,32,0.2867224244623979,0.12964695457588937,0.9999329447746276,1.8127260208129885,8.86
kleb_to_pseudomonas_entropy_diversity_seed44,Pseudomonas,diversity,50,50,0,0.4091780508112346,0.01551620017471042,0.998659610748291,1.960161030292511,21.04
